"Calendar_Year","Month","CD_Rate","VWI_Rate","VI_Rate"
2001,4,5,23,10
2001,5,5,27,23
2001,6,5,31,14
2001,7,4,33,11
2001,8,5,32,25
2001,9,6,32,18
2001,10,6,40,26
2001,11,5,38,22
2001,12,7,35,25
2002,1,9,42,36
2002,2,9,42,34
2002,3,7,34,32
2002,4,8,41,31
2002,5,6,40,25
2002,6,7,33,27
2002,7,8,44,30
2002,8,8,44,22
2002,9,9,42,32
2002,10,12,46,39
2002,11,9,45,41
2002,12,10,47,30
2003,1,10,47,39
2003,2,11,46,39
2003,3,10,42,33
2003,4,10,57,30
2003,5,13,60,31
2003,6,12,55,33
2003,7,11,56,36
2003,8,12,51,35
2003,9,11,55,45
2003,10,10,51,45
2003,11,12,59,43
2003,12,11,58,42
2004,1,13,64,50
2004,2,11,64,45
2004,3,7,57,38
2004,4,10,50,43
2004,5,9,40,31
2004,6,13,45,33
2004,7,10,48,33
2004,8,13,43,48
2004,9,11,47,32
2004,10,13,62,38
2004,11,11,58,44
2004,12,12,63,32
2005,1,17,59,50
2005,2,10,66,45
2005,3,10,55,40
2005,4,12,54,39
2005,5,8,50,42
2005,6,9,47,36
2005,7,9,43,32
2005,8,8,45,38
2005,9,7,44,38
2005,10,10,51,40
2005,11,9,57,48
2005,12,11,56,30
2006,1,16,55,50
2006,2,12,65,54
2006,3,9,49,50
2006,4,6,27,26
2006,5,9,26,23
2006,6,11,30,29
2006,7,7,30,25
2006,8,9,30,28
2006,9,9,27,30
2006,10,10,40,34
2006,11,8,34,33
2006,12,10,34,26
2007,1,11,47,42
2007,2,13,47,46
2007,3,13,49,37
2007,4,6,23,20
2007,5,6,28,27
2007,6,10,25,26
2007,7,10,26,24
2007,8,7,27,24
2007,9,9,32,30
2007,10,12,32,30
2007,11,6,26,26
2007,12,7,30,24
2008,1,8,23,27
2008,2,11,42,37
2008,3,7,36,28
2008,4,5,24,23
2008,5,8,26,22
2008,6,5,25,22
2008,7,10,26,26
2008,8,6,23,23
2008,9,10,34,35
2008,10,10,40,30
2008,11,10,44,33
2008,12,10,34,31
2009,1,13,40,33
2009,2,9,37,36
2009,3,7,36,20
2009,4,8,36,28
2009,5,10,37,20
2009,6,12,49,36
2009,7,11,40,34
2009,8,8,33,23
2009,9,14,35,28
2009,10,12,42,35
2009,11,12,38,34
2009,12,9,33,33
2010,1,13,49,39
2010,2,14,43,35
2010,3,12,42,44
2010,4,10,38,30
2010,5,8,36,30
2010,6,13,40,33
2010,7,11,38,39
2010,8,14,45,32
2010,9,14,51,38
2010,10,11,33,33
2010,11,14,64,52
2010,12,15,52,28
2011,1,13,49,34
2011,2,15,55,47
2011,3,10,42,38
2011,4,7,33,27
2011,5,10,43,36
2011,6,14,49,40
2011,7,11,45,23
2011,8,13,40,34
2011,9,18,49,28
2011,10,15,53,40
2011,11,11,45,39
2011,12,15,32,30
2012,1,16,38,43
2012,2,8,48,38
2012,3,12,40,29
2012,4,11,40,30
2012,5,20,37,40
2012,6,14,43,32
2012,7,14,41,27
2012,8,12,35,30
2012,9,15,38,27
2012,10,15,50,48
2012,11,10,44,41
2012,12,10,29,20
2013,1,10,32,36
2013,2,12,30,30
2013,3,12,40,29
2013,4,9,30,38
2013,5,12,26,23
2013,6,13,24,27
2013,7,9,29,28
2013,8,8,23,30
2013,9,10,27,24
2013,10,13,27,32
2013,11,16,28,27
2013,12,10,28,22
2014,1,12,32,41
2014,2,11,27,30
2014,3,9,26,32
2014,4,11,18,28
2014,5,16,23,21
2014,6,10,21,25
2014,7,8,18,24
2014,8,9,25,20
2014,9,10,21,29
2014,10,12,24,31
2014,11,17,29,32
2014,12,13,24,30
2015,1,15,33,34
2015,2,17,25,25
2015,3,12,26,30
2015,4,10,23,24
2015,5,12,24,22
2015,6,8,24,29
2015,7,12,29,30
2015,8,11,21,22
2015,9,10,26,33
2015,10,12,26,25
2015,11,15,27,31
2015,12,11,20,26
2016,1,14,26,33
2016,2,14,25,36
2016,3,11,32,31
2016,4,10,20,34
2016,5,14,24,30
2016,6,12,22,32
2016,7,9,22,20
2016,8,11,23,24
2016,9,13,30,29
2016,10,14,23,29
2016,11,12,36,38
2016,12,14,23,22
2017,1,12,24,34
2017,2,14,24,29
2017,3,12,26,30
2017,4,8,25,26
2017,5,15,23,29
2017,6,14,24,26
2017,7,10,22,19
2017,8,10,23,26
2017,9,10,24,22
2017,10,9,24,27
2017,11,14,29,27
2017,12,12,20,23
2018,1,16,30,33
2018,2,15,29,26
2018,3,12,24,27
2018,4,11,23,24
2018,5,14,19,28
2018,6,11,18,24
2018,7,10,19,26
2018,8,15,24,25
2018,9,12,22,20
2018,10,15,28,32
2018,11,16,27,29
2018,12,14,20,24
2019,1,14,26,30
2019,2,19,31,38
2019,3,16,27,34
2019,4,16,26,30
2019,5,16,22,36
2019,6,14,20,27
2019,7,13,22,19
2019,8,14,18,24
2019,9,13,18,27
2019,10,16,27,34
2019,11,16,24,28
2019,12,16,24,26
2020,1,16,25,36
2020,2,13,22,30
2020,3,16,28,37
